更新日時,便名,出航時刻,発地,船種,到着港,運航状況,備考,行き先,出帆港
2023-07-01T10:56+09:00,大島行き,08:30,東京発,ジェット船 1270便,岡田港,就航,満席　※増発便　,,
2023-07-01T10:56+09:00,大島行き,08:30,東京発,ジェット船 1220便,岡田港,就航,空席あり　久里浜経由　,,
2023-07-01T10:56+09:00,大島行き,09:35,久里浜発,ジェット船 1220便,岡田港,就航,空席あり,,
2023-07-01T10:56+09:00,大島行き,09:10,熱海発,ジェット船 1100便,岡田港,就航,空席あり　伊東経由,,
2023-07-01T10:56+09:00,大島行き,09:40,伊東発,ジェット船 1100便,岡田港,就航,空席あり,,
2023-07-01T10:56+09:00,大島行き,14:15,東京発,ジェット船 1230便,岡田港,,空席あり,,
2023-07-01T10:56+09:00,大島行き,22:00,東京発（昨晩）発,大型客船 3000便さるびあ丸,岡田港,就航,,,
2023-07-01T10:56+09:00,大島行き,22:00,東京発（今晩）発,大型客船 3000便さるびあ丸,---,就航,,,
2023-07-01T10:56+09:00,大島行き,23:30,横浜発,大型客船 3000便さるびあ丸,---,欠航,さるびあ丸推進システムの一部整備の為、東京発をご利用下さい,,
2023-07-01T10:56+09:00,大島発,10:30,,ジェット船 2210便,,就航,　,東京行,岡田港
2023-07-01T10:56+09:00,大島発,16:30,,ジェット船 2220便,,就航,,久里浜行,岡田港
2023-07-01T10:56+09:00,大島発,16:30,,ジェット船 2220便,,就航,久里浜経由,東京行,岡田港
2023-07-01T10:56+09:00,大島発,16:45,,ジェット船 2270便,,就航,※増発便,東京行,岡田港
2023-07-01T10:56+09:00,大島発,16:25,,ジェット船 2110便,,天候調査中,,伊東行,岡田港
2023-07-01T10:56+09:00,大島発,16:25,,ジェット船 2110便,,天候調査中,伊東経由,熱海行,岡田港
2023-07-01T10:56+09:00,大島発,14:30,,大型客船 2000便さるびあ丸,,欠航,さるびあ丸推進システムの一部整備の為,横浜行,---
2023-07-01T10:56+09:00,大島発,14:30,,大型客船 2000便さるびあ丸,,就航,竹芝到着20時30分予定,東京行,岡田港
